2025-05-28 12:55:40 688462 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: sessionInfo Dll     
2025-05-28 12:55:40 688614 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server |    chat = SessionInfoHandler.SelfServiceHandler, SessionInfoHandler     
2025-05-28 12:55:40 688718 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: callbackbypass     
2025-05-28 12:55:40 688990 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server |     = false     
2025-05-28 12:55:40 689114 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: offlineMode     
2025-05-28 12:55:40 689206 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server |     = false     
2025-05-28 12:55:40 689288 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: TMACTimeout     
2025-05-28 12:55:40 689371 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server |     = 10000     
2025-05-28 12:55:40 689447 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: agent.treadlocktimeout = 10000     
2025-05-28 12:55:40 689557 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: blindtransfer.timeout     
2025-05-28 12:55:40 689644 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server |     = 3000     
2025-05-28 12:55:40 689718 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: enable.callagentMsg     
2025-05-28 12:55:40 689785 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server |    = false     
2025-05-28 12:55:40 689875 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: avmonitor     
2025-05-28 12:55:40 690209 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server |     = false     
2025-05-28 12:55:40 691371 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: lockWaitTime : 5000 sec     
2025-05-28 12:55:40 691563 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: reportHandler : true     
2025-05-28 12:55:40 691640 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | Initializing SessionQueueManager     
2025-05-28 12:55:40 693670 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.QueueMonitor | QueueMonitor : Initialize() starts     
2025-05-28 12:55:40 693892 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.QueueMonitor |  Queue sync is disabled     
2025-05-28 12:55:40 694209 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer | configs: system callback enable/disable      
2025-05-28 12:55:40 694394 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer |     = false     
2025-05-28 12:55:40 694503 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer | configs: customer callback enable/disable     
2025-05-28 12:55:40 694672 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer |     = false     
2025-05-28 12:55:40 694772 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer | configs: default routepath     
2025-05-28 12:55:40 694873 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer |     = wq     
2025-05-28 12:55:40 694944 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer | configs: bypass.csocheck     
2025-05-28 12:55:40 695057 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer |     = true     
2025-05-28 12:55:40 695142 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer | configs: vastart     
2025-05-28 12:55:40 695209 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer |     = start     
2025-05-28 12:55:40 695269 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer | configs: enable sessionQueue     
2025-05-28 12:55:40 695392 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Customer |     = false     
2025-05-28 12:55:40 697312 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.LockFileHandler | CreateAndLockFile: Lock file path = /tmp/tcommserver_dev.lock     
