2025-05-29 05:13:36 480335 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer |     = true     
2025-05-29 05:13:36 480450 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer | configs: vastart     
2025-05-29 05:13:36 480567 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer |     = start     
2025-05-29 05:13:36 480679 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer | configs: enable sessionQueue     
2025-05-29 05:13:36 480888 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer |     = false     
2025-05-29 05:13:36 481903 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.LockFileHandler | CreateAndLockFile: Lock file path = /tmp/tcommserver_dev.lock     
2025-05-29 05:13:36 482228 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.LockFileHandler | CreateAndLockFile: Lock file created and locked successfully     
2025-05-29 05:13:36 484505 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: listeners     
2025-05-29 05:13:36 496352 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"websocket","Port":"22556","User":"customer","IsSecure":"false","ClientName":null,"Cert":"","CertPassword":""}     
2025-05-29 05:13:36 500370 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"tcp","Port":"2324","User":"customer","IsSecure":"false","ClientName":null,"Cert":"","CertPassword":""}     
2025-05-29 05:13:36 500903 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"tcp","Port":"50000","User":"syncqueue","IsSecure":null,"ClientName":null,"Cert":null,"CertPassword":null}     
2025-05-29 05:13:36 501156 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"tcp","Port":"2334","User":"agent","IsSecure":"false","ClientName":null,"Cert":null,"CertPassword":null}     
2025-05-29 05:13:36 501400 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"websocket","Port":"11011","User":"monitor","IsSecure":null,"ClientName":null,"Cert":null,"CertPassword":null}     
2025-05-29 05:13:36 502004 |(1224e7012eff)| DEBUG   |[1  ]| TpmsInterconnect.Server | Manager instance is null     
2025-05-29 05:13:36 507767 |(1224e7012eff)| DEBUG   |[1  ]| TpmsInterconnect.TcpServer | Listening Started Successfully     
2025-05-29 05:13:36 508481 |(1224e7012eff)| DEBUG   |[1  ]| TpmsInterconnect.TcpServer | Listening Started Successfully     
2025-05-29 05:13:36 508823 |(1224e7012eff)| DEBUG   |[1  ]| TpmsInterconnect.TcpServer | Listening Started Successfully     
2025-05-29 05:13:36 508948 |(1224e7012eff)| INFO    |[14 ]| TpmsInterconnect.TcpServer | Waiting for a client     
2025-05-29 05:13:36 509012 |(1224e7012eff)| INFO    |[15 ]| TpmsInterconnect.TcpServer | Waiting for a client     
2025-05-29 05:13:36 509085 |(1224e7012eff)| INFO    |[16 ]| TpmsInterconnect.TcpServer | Waiting for a client     
2025-05-29 05:13:36 553086 |(1224e7012eff)| DEBUG   |[1  ]| TpmsInterconnect.Server | New state =false     
2025-05-29 05:13:36 554934 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.Server | Start() : Health check address = http://172.31.73.181:2244/health/TCOMMdev-0A-59-07-B6-2244/122690/     
2025-05-29 05:13:36 556356 |(1224e7012eff)| DEBUG   |[1  ]| TpmsInterconnect.HttpHealthListener | Initialize: URL set to http://+:2244/health/TCOMMdev-0A-59-07-B6-2244/122690/     
2025-05-29 05:13:36 556878 |(1224e7012eff)| INFO    |[1  ]| TpmsInterconnect.HttpHealthListener | Start: Health check listening started successfully - http://+:2244/health/TCOMMdev-0A-59-07-B6-2244/122690/     
2025-05-29 05:13:36 916565 |(1224e7012eff)| INFO    |[.NET TP Worker]| TpmsInterconnect.MSWSConnection | {{new}} ws opened, new client connected     
2025-05-29 05:13:36 917215 |(1224e7012eff)| INFO    |[.NET TP Worker]| TextchatServer.Server | {18923} Monitor {1000} connected     
2025-05-29 05:13:36 920415 |(1224e7012eff)| INFO    |[.NET TP Worker]| TpmsInterconnect.MSWSConnection | {{new}} Starting HB for WS connection     
2025-05-29 05:13:37 027831 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | Start() : Address list published successfully     
2025-05-29 05:13:37 027974 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | Chat server started successfully     
2025-05-29 05:13:37 352636 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Worker | StartAsync: Service starting     
2025-05-29 05:13:37 354200 |(1224e7012eff)| WARN    |[1  ]| MessageDistributor.MessageDistributor | Third Party Plugin Configurations not properly configured or Service provider is null. due to that disabling plugin service     
2025-05-29 05:13:37 356695 |(1224e7012eff)| WARN    |[1  ]| ExternalMessageDistributor.Services.WebSocketMessagingService | ValidateMMMSettings: MMM setting is not enabled     
2025-05-29 05:13:37 357527 |(1224e7012eff)| DEBUG   |[1  ]| MessageDistributor.MessageDistributor | [MessageDistributor] Message Distributor started     
2025-05-29 05:13:37 357761 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.MessageDistributeInitializer | [MessageDistributeInitializer] Message Distributor started     
